Name,1st,2nd,3rd,4th,5th,6th
111,15/19 Forensics,,,,,
112,,,,,,
113,1/16 Anatomy & Physiology, 44/61 Ecology, ,,,
114,Astronomy 14/14, 12/18 Fermi Questions, 10/15 Optics, ,,
115,3/14 Astronomy, 7/11 Detector Building, 4/15 Optics, 2/11 Wind Power,,
116,,,,,,
117,1/14 Astronomy, 33.99% Geologic Mapping, 8/15 Optics, ,,
118,76/85 Disease Detectives, 57.5/61 Ecology,,,,
119,6/15 Codebusters, 19/19 Forensics,,,,
120,13/14 Astronomy, 29.5/61 Ecology, ,,,
121,Disease Detectives(score) 57.5/85, Optics(rank) 6/15,,,,
122,,,,,,
123,Codebusters(rank) 7/15, Wind Power(rank) 3/11,,,,
124,,,,,,
125,Experimental Design. (rank) 4/10, Forestry(rank) 6/11, Write It Do It(43/59),,,
126,,,,,,
127,Ecology(score) 65.57%, Microbe Mission(rank) 13/22,,,,
128,Experimental Design. (rank) 8/10, Astronomy(rank) 12/14,,,,
129,Codebusters(rank) 15/15, Ecology(score) 50.00%,,,,
130,Geologic Mapping(score) 27.45%, Fossils(rank) 10/13, Experimental Design.(rank) 10/10,,,
131,Chemistry Lab(score) 48.44%, Dynamic Planet (rank) 4/13,,,,
132,Ecology(score) 49.18%, Dynamic Planet (rank) 7/13, Codebusters(rank) 12/15,,,
133,Astronomy(rank) 11/14, Chemistry Lab(score) 17.19%, Detector Building(rank) 8/11,,,
134,Write It Do It(score) 54/59,,,,,
135,,,,,,
136,Wind Power(rank) 7/11, Optics(rank) 14/15, Fermi Questions (rank) 11/18, Ecology(score) 34.97%, Detector Building(rank) 6/11,
137,,,,,,
138,,,,,,
139,Disease Detectives(score) 63/85, Forensics(rank) 11/19,,,,
140,Microbe Mission(rank) 21/22, Disease Detectives(score) 53.5/83,,,,
141,Detector Building(rank) 1/11, Forestry(rank) 1/11,,,,
142,Write It Do It(score) 32/59, Geologic Mapping(score) 36.6%, Forensics(rank) 17/19, Experimental Design.(rank)6/10, Astronomy(rank) 5/14,
143,Astronomy(rank) 2/14, Chemistry Lab(score) 56.25%,,,,
144,Forestry(rank) 8/11, Ecology(score) 48.77%,,,,
145,,,,,,
146,Geologic Mapping(score) 54.9%, Fossils(rank) 8/13, Dynamic Planet (rank) 2/13, Astronomy(rank)9/14,,
147,Disease Detectives(score) 50.67, Microbe Mission(rank) 17/22,,,,
148,Forestry(rank) 10/11,,,,,
149,Chemistry Lab(score) 50.78%,,,,,
150,Ecology(score) 21.5/65, Dynamic Planet(rank) 5/13, Fossils(rank) 6/13,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,Fermi Questions (rank) 6/18, Also in Air Trajectory,,,,
159,In Air Trajectory, Flight ,,,,
160,Dynamic Planet (rank) 13/13, Forensics (rank) 4/19,,,,
161,Optics (rank) 2/15, Wind Power (rank) 1/11, Detector Building (rank) 2/11,,,
162,Dynamic Planet (rank) 8/13, Ecology (score) 70%,,,,
163,Codebusters (rank) 14/15, Fermi Questions (rank) 6/18,,,,
164,Fermi Questions (Rank) 4/18, Also in Tower,,,,
