Name,1st,2nd,3rd,4th,5th
91,35/54 Chemistry Lab, 16/33 Forensics, ,,
92,42.5/47 Astronomy, 19/38 Microbe Mission,,,
93,16/20 Codebusters, 10/13 Detector Building, 14.2/36 Geologic Mapping, 9/23 Scrambler,
94,24/54 Chemistry Lab, 8/20 Codebusters, 15/33 Forensics, ,
95,30.5/47 Astronomy, 27/36 Dynamic Planet, ,,
96,26/54 Chemistry Lab, 51/83 Disease Detectives, 15/21 Ecology, ,
97,10/24 Flight, 37/45 Tower,,,
98,19/23 Scrambler, 38/45 Tower,,,
99,5/14 Write It Do It, 9/23 Scrambler, 32/45 Tower,,
100,35.5/47 Astronomy, 10/20 Codebusters, 31.17/36 Dynamic Planet, 15/21 Ecology ,
101,2/24 Flight,,,,
102,7/20 Codebusters, 8/21 Optics, ,,
103,34.5/47 Astronomy, 39/54 Chemistry Lab, 15/33 Forensics, ,
104,14/34 Anatomy & Physiology, 43/83 Disease Detectives, 13.75/48 Forestry, ,
105,28.5/47 Astronomy, 27.67/36 Dynamic Planet, 11/24 Flight, 33/45 Tower,
106,14/20 Codebusters, 1/23 Fermi Questions, 31.5/36 Geologic Mapping, 2/21 Optics, 4/10 Wind Power
107,8/14 Write It Do It, 6/24 Flight, 14/21 Robot Tour,,
108,14/20 Codebusters, 20/33 Forensics, 19/36 Geologic Mapping,,
109,8/34 Anatomy & Physiology, 28.5/83 Disease Detectives, 4/38 Microbe Mission,,
110,8/14 Write It Do It, 14/24 Flight,,,
111,9/33 Forensics, 6/10 Wind Power, 5/21 Robot Tour, 12/23 Scrambler,
112,5/18 Experimental Design, 36/47 Astronomy,,,
113,2/34 Anatomy & Physiology, 7/21 Ecology, 5/33 Forensics,,
114,39.5/47 Astronomy, 17/23 Fermi Questions, ,,
115,38.5/47 Astronomy, 19/54 Chemistry Lab, 4/21 Optics, 2/10 Wind Power,
116,28/83 Disease Detectives, 19/33 Forensics, 3/14 Write It Do It,,
117,39/47 Astronomy, 19/23 Fermi Questions, 6/21 Optics, 13/24 Flight,
118,Subject Director for Bio, EM for Ecology, Microbe Mission,,
119,3/20 Codebusters, 8/33 Forensics,,,
120,32.5/46 Astronomy, 19/54 Chemistry Lab, 11/21 Ecology,,
121,Disease Detectives(score) 60.5/83, Forensics(rank) 10/33, Anatomy & Physiology(rank) 8/34,,
122,Experimental Design.(rank) 1/18, Fermi Questions(rank) 2/23,,,
123,Air Trajectory(score) 14/15, Wind Power(rank) 1/10, Codebusters(rank) 4/20,,
124,No Info, EM for Air Trajectory,,,
125,Forestry(score) 24.25/48, Experimental Design.(rank) 9/18, Write It Do It(rank) 6/14,,
126,Build Director, EM for Air Trajectory & Tower,,,
127,Microbe Mission(rank) 6/38, Disease Detectives(score) 37/83,,,
128,Experimental Design.(rank) 10/18, Astronomy(score) 34.5/47,,,
